epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1081.43,1.29083,1.62593,0.91633,0.92632,0.74074,0.85795,0.45687,1.57943,1.44916,0.8964,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,1136.12,1.28988,1.61591,0.88332,0.92187,0.77778,0.85758,0.45007,1.57936,1.44277,0.89503,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,1191.87,1.29946,1.64083,0.89791,0.93179,0.75898,0.86403,0.45924,1.57923,1.47705,0.89147,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,1248.34,1.25523,1.59032,0.87986,0.94065,0.77778,0.86877,0.47126,1.5531,1.46219,0.89149,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,1304.69,1.1476,1.44474,0.85903,0.94423,0.7838,0.87251,0.46296,1.54491,1.44741,0.89144,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,1360.4,1.23538,1.53938,0.87274,0.92616,0.77778,0.87815,0.46294,1.56054,1.4357,0.8952,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,1415.8,1.1224,1.44144,0.86241,0.91425,0.78979,0.86507,0.45886,1.57127,1.42643,0.89924,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,1472.69,1.23605,1.5017,0.89377,0.91371,0.78443,0.85544,0.45059,1.58386,1.42894,0.90141,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,1528.11,1.15146,1.42999,0.87569,0.92773,0.77778,0.85608,0.44993,1.58074,1.41805,0.89964,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,1584.34,1.222,1.50431,0.87456,0.94419,0.78322,0.85741,0.44802,1.58107,1.40904,0.89908,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
