epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,59.2076,2.05399,4.58956,1.04267,0.00062,0.0463,0.00032,0.00023,1.93486,4.5084,1.05599,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,113.552,1.93582,4.5603,0.99419,0.00173,0.12963,0.00101,0.00057,1.84399,4.39339,1.01948,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
3,164.676,1.83423,4.3297,0.9734,0.00346,0.25926,0.0025,0.00136,1.81713,4.24019,0.97993,0.00145704,0.00048568,0.00145704,0.00048568,0.00145704,0.00048568,0.00145704,0.00048568
4,214.501,1.77234,3.84797,0.97729,0.00395,0.2963,0.00349,0.00203,1.76733,4.19839,0.97353,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
5,265.216,1.78115,3.45359,0.997,0.0063,0.47222,0.00849,0.00413,1.69626,3.91785,0.93042,0.00229152,0.00076384,0.00229152,0.00076384,0.00229152,0.00076384,0.00229152,0.00076384
6,315.294,1.80599,2.76243,0.97011,0.00728,0.5463,0.03029,0.02037,1.61527,3.68323,0.9058,0.0026553,0.0008851,0.0026553,0.0008851,0.0026553,0.0008851,0.0026553,0.0008851
7,365.062,1.73671,2.49208,0.97219,0.00728,0.5463,0.12144,0.08328,1.60615,3.51534,0.91029,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448
8,413.641,1.65897,2.21514,0.91786,0.00877,0.65741,0.32431,0.19392,1.63923,3.30727,0.90015,0.00327594,0.00109198,0.00327594,0.00109198,0.00327594,0.00109198,0.00327594,0.00109198
9,462.792,1.63139,2.06405,0.92162,1,0.38363,0.54501,0.28596,1.7004,3.09494,0.91726,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776
10,510.364,1.54185,1.88953,0.89628,1,0.16381,0.6046,0.32904,1.6475,2.87108,0.90791,0.00375402,0.00125134,0.00375402,0.00125134,0.00375402,0.00125134,0.00375402,0.00125134
11,558.318,1.50653,1.84878,0.89366,1,0.21894,0.62433,0.35107,1.62319,2.72791,0.9176,0.0039396,0.0013132,0.0039396,0.0013132,0.0039396,0.0013132,0.0039396,0.0013132
12,607.7,1.50996,1.8242,0.88344,0.94343,0.46327,0.65292,0.34587,1.67691,2.46403,0.92841,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,655.792,1.52334,1.82985,0.88616,0.96003,0.59259,0.70869,0.37964,1.64411,2.20327,0.91829,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,703.24,1.49004,1.68631,0.90279,0.98041,0.62963,0.76563,0.39742,1.64698,2.07956,0.92238,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,754.287,1.47124,1.73973,0.89214,0.95078,0.63889,0.78925,0.41708,1.63623,1.97512,0.92402,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,808.036,1.42629,1.64365,0.90173,0.94925,0.69278,0.81376,0.42178,1.63916,1.77552,0.91873,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,861.491,1.33749,1.54938,0.88209,0.94524,0.7037,0.84021,0.44166,1.54279,1.65143,0.90043,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,918.771,1.43245,1.65912,0.87016,0.94566,0.74074,0.85369,0.46985,1.52472,1.61543,0.9005,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,974.52,1.35173,1.53028,0.86596,0.94462,0.75,0.85973,0.45656,1.5396,1.53722,0.89449,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,1029.05,1.38882,1.50688,0.87639,0.94078,0.73544,0.86876,0.45673,1.5349,1.46508,0.8932,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
