epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.9753,1.93757,4.57142,1.0272,0.00059,0.05556,0.00031,0.0002,2.05142,5.2237,1.03556,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,113.959,1.95934,4.61767,1.00025,0.00108,0.10185,0.00062,0.00041,2.00227,5.0257,1.00617,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
3,166.262,1.88492,4.39414,0.99096,0.00137,0.12963,0.0008,0.00047,1.99466,5.08355,0.99425,0.0005304,0.0001768,0.0005304,0.0001768,0.0005304,0.0001768,0.0005304,0.0001768
